s,m/s
Time,"Ub"
 5.4911742E+001, 9.6893722E-001
 5.5005821E+001, 9.6878082E-001
 5.5123420E+001, 9.6937874E-001
 5.5217500E+001, 9.7035642E-001
 5.5311579E+001, 9.7061568E-001
 5.5405659E+001, 9.6983610E-001
 5.5523258E+001, 9.6811298E-001
 5.5617337E+001, 9.6623923E-001
 5.5711417E+001, 9.6491026E-001
 5.5805496E+001, 9.6491197E-001
 5.5923095E+001, 9.6534960E-001
 5.6017175E+001, 9.6563530E-001
 5.6111254E+001, 9.6531456E-001
 5.6205334E+001, 9.6508339E-001
 5.6322933E+001, 9.6531271E-001
 5.6417012E+001, 9.6646564E-001
 5.6511092E+001, 9.6829016E-001
 5.6605171E+001, 9.6985362E-001
 5.6722770E+001, 9.7069753E-001
 5.6816850E+001, 9.7043804E-001
 5.6905781E+001, 9.6982928E-001
 5.7010508E+001, 9.6950372E-001
 5.7115236E+001, 9.6943618E-001
 5.7219964E+001, 9.6939641E-001
 5.7303746E+001, 9.6875361E-001
 5.7408474E+001, 9.6764785E-001
 5.7513202E+001, 9.6682845E-001
 5.7617929E+001, 9.6746606E-001
 5.7701712E+001, 9.6757532E-001
 5.7806439E+001, 9.6715037E-001
 5.7911167E+001, 9.6705819E-001
 5.8015895E+001, 9.6619815E-001
 5.8120623E+001, 9.6525568E-001
 5.8204405E+001, 9.6528377E-001
 5.8309133E+001, 9.6554713E-001
 5.8413861E+001, 9.6602226E-001
 5.8518588E+001, 9.6739546E-001
 5.8602371E+001, 9.6909958E-001
 5.8707098E+001, 9.6970815E-001
 5.8811826E+001, 9.6995792E-001
 5.8916554E+001, 9.7082023E-001
 5.9000336E+001, 9.7021389E-001
 5.9105064E+001, 9.6960964E-001
 5.9209792E+001, 9.6966291E-001
 5.9314519E+001, 9.6934379E-001
 5.9419247E+001, 9.6885713E-001
 5.9503029E+001, 9.6856309E-001
 5.9607757E+001, 9.6840423E-001
 5.9712485E+001, 9.6844299E-001
 5.9817213E+001, 9.6860899E-001
 5.9900995E+001, 9.6847559E-001
 6.0005723E+001, 9.6854639E-001
 6.0110450E+001, 9.6937143E-001
 6.0215178E+001, 9.6967606E-001
 6.0319906E+001, 9.6947146E-001
 6.0403688E+001, 9.6970071E-001
 6.0508416E+001, 9.7071136E-001
 6.0613144E+001, 9.7164001E-001
 6.0717871E+001, 9.7248438E-001
 6.0801654E+001, 9.7340266E-001
 6.0906381E+001, 9.7404307E-001
 6.1011109E+001, 9.7365041E-001
 6.1115837E+001, 9.7172835E-001
 6.1220565E+001, 9.6884501E-001
 6.1304347E+001, 9.6661869E-001
 6.1409075E+001, 9.6626725E-001
 6.1513802E+001, 9.6762828E-001
 6.1618530E+001, 9.6979138E-001
 6.1702312E+001, 9.7187547E-001
 6.1807040E+001, 9.7319914E-001
 6.1911768E+001, 9.7280794E-001
 6.2016496E+001, 9.7146164E-001
 6.2100278E+001, 9.7007715E-001
 6.2205006E+001, 9.6895491E-001
 6.2309734E+001, 9.6819182E-001
 6.2414461E+001, 9.6825710E-001
 6.2519189E+001, 9.6967581E-001
 6.2602971E+001, 9.7088959E-001
 6.2707699E+001, 9.7195054E-001
 6.2812427E+001, 9.7223232E-001
 6.2917155E+001, 9.7142205E-001
 6.3000937E+001, 9.7027378E-001
 6.3105665E+001, 9.6905456E-001
 6.3210392E+001, 9.6741747E-001
 6.3315120E+001, 9.6658011E-001
 6.3419848E+001, 9.6715003E-001
 6.3503630E+001, 9.6907575E-001
 6.3608358E+001, 9.7066640E-001
 6.3713086E+001, 9.7092319E-001
 6.3817813E+001, 9.7056927E-001
 6.3901596E+001, 9.6948106E-001
 6.4006323E+001, 9.6869532E-001
 6.4111051E+001, 9.7016072E-001
 6.4215779E+001, 9.7182107E-001
 6.4320507E+001, 9.7217330E-001
