s,m/s
Time,"Ub"
 4.5607030E+001, 9.6333751E-001
 4.5703469E+001, 9.6589132E-001
 4.5809551E+001, 9.6811842E-001
 4.5905989E+001, 9.6677729E-001
 4.6002427E+001, 9.6781947E-001
 4.6108510E+001, 9.7153289E-001
 4.6204948E+001, 9.7414272E-001
 4.6308116E+001, 9.7399670E-001
 4.6403514E+001, 9.7807291E-001
 4.6508452E+001, 9.8003840E-001
 4.6603851E+001, 9.7609817E-001
 4.6708789E+001, 9.7298421E-001
 4.6804187E+001, 9.7080389E-001
 4.6909125E+001, 9.6626522E-001
 4.7004523E+001, 9.6279995E-001
 4.7109461E+001, 9.6225768E-001
 4.7204860E+001, 9.6237554E-001
 4.7300258E+001, 9.6232039E-001
 4.7403016E+001, 9.5715860E-001
 4.7501034E+001, 9.5692621E-001
 4.7603277E+001, 9.5869902E-001
 4.7705519E+001, 9.6101252E-001
 4.7807762E+001, 9.6764121E-001
 4.7900710E+001, 9.6972243E-001
 4.8002953E+001, 9.6521050E-001
 4.8105195E+001, 9.6467357E-001
 4.8207438E+001, 9.6803070E-001
 4.8300386E+001, 9.7125109E-001
 4.8402629E+001, 9.7200328E-001
 4.8504872E+001, 9.6782888E-001
 4.8607114E+001, 9.6340961E-001
 4.8700062E+001, 9.6291540E-001
 4.8802305E+001, 9.5612820E-001
 4.8904548E+001, 9.5242926E-001
 4.9006791E+001, 9.5570156E-001
 4.9109033E+001, 9.6062517E-001
 4.9201981E+001, 9.5941112E-001
 4.9304224E+001, 9.5434537E-001
 4.9406467E+001, 9.5614295E-001
 4.9508710E+001, 9.6071857E-001
 4.9601658E+001, 9.6405000E-001
 4.9703900E+001, 9.6998331E-001
 4.9806143E+001, 9.6992158E-001
 4.9908386E+001, 9.6294322E-001
 5.0001334E+001, 9.5903233E-001
 5.0103577E+001, 9.5785343E-001
 5.0205819E+001, 9.5822454E-001
 5.0308062E+001, 9.5887925E-001
 5.0401010E+001, 9.5965034E-001
 5.0503253E+001, 9.6190857E-001
 5.0605496E+001, 9.6231871E-001
 5.0707738E+001, 9.6270785E-001
 5.0800686E+001, 9.6311887E-001
 5.0902929E+001, 9.6410345E-001
 5.1005172E+001, 9.6410118E-001
 5.1107414E+001, 9.6472619E-001
 5.1200362E+001, 9.6782301E-001
 5.1302605E+001, 9.7329602E-001
 5.1404848E+001, 9.7589454E-001
 5.1507091E+001, 9.7388885E-001
 5.1600039E+001, 9.7126321E-001
 5.1702281E+001, 9.6467947E-001
 5.1804524E+001, 9.6313639E-001
 5.1906767E+001, 9.6509673E-001
 5.2009010E+001, 9.6336459E-001
 5.2101958E+001, 9.5838416E-001
 5.2204200E+001, 9.5302916E-001
 5.2306443E+001, 9.4670259E-001
 5.2408686E+001, 9.4693291E-001
 5.2501634E+001, 9.5262853E-001
 5.2603877E+001, 9.5824919E-001
 5.2706119E+001, 9.5675480E-001
 5.2808362E+001, 9.5340390E-001
 5.2901310E+001, 9.5469043E-001
 5.3003553E+001, 9.5915094E-001
 5.3105796E+001, 9.6408838E-001
 5.3208038E+001, 9.6517390E-001
 5.3307493E+001, 9.6275181E-001
 5.3409735E+001, 9.6020112E-001
 5.3501754E+001, 9.6173937E-001
 5.3603997E+001, 9.6151341E-001
 5.3706239E+001, 9.6404446E-001
 5.3808482E+001, 9.6545829E-001
 5.3900501E+001, 9.6057595E-001
 5.4004222E+001, 9.5581499E-001
 5.4104663E+001, 9.4885481E-001
 5.4205104E+001, 9.4849855E-001
 5.4305546E+001, 9.5330378E-001
 5.4405987E+001, 9.5612985E-001
 5.4506429E+001, 9.5582888E-001
 5.4606870E+001, 9.5370553E-001
 5.4707311E+001, 9.5426525E-001
 5.4807753E+001, 9.5317521E-001
 5.4908194E+001, 9.5641237E-001
 5.5008635E+001, 9.6334439E-001
 5.5109077E+001, 9.6662973E-001
 5.5200387E+001, 9.6743197E-001
 5.5300828E+001, 9.7025728E-001
 5.5401270E+001, 9.7342695E-001
 5.5501711E+001, 9.7714093E-001
 5.5602153E+001, 9.7867093E-001
 5.5702594E+001, 9.7290005E-001
 5.5803035E+001, 9.6797012E-001
 5.5903477E+001, 9.5801471E-001
