s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 6.4326972E-001, 1.8978864E+000,-2.0843935E+000, 1.0000000E-001, 9.0000000E+001, 6.4687902E-001, 4.0158599E-015
 6.4902163E-001, 1.8991692E+000,-2.0621280E+000, 1.0000000E-001, 9.0000000E+001, 6.4689853E-001, 3.8996682E-015
 6.5534874E-001, 1.9004451E+000,-2.0422055E+000, 1.0000000E-001, 9.0000000E+001, 6.4618454E-001, 3.4117185E-015
 6.6110742E-001, 1.9014836E+000,-2.0200665E+000, 1.0000000E-001, 9.0000000E+001, 6.4610168E-001, 3.2727818E-015
 6.6744196E-001, 1.9024908E+000,-2.0001842E+000, 1.0000000E-001, 9.0000000E+001, 6.4553304E-001, 2.9293784E-015
 6.7320722E-001, 1.9032846E+000,-1.9781834E+000, 1.0000000E-001, 8.9000000E+001, 6.5101925E-001, 9.3789913E-015
 6.7954900E-001, 1.9040228E+000,-1.9583527E+000, 1.0000000E-001, 8.9000000E+001, 6.5036491E-001, 8.3390599E-015
 6.8532088E-001, 1.9045718E+000,-1.9365026E+000, 1.0000000E-001, 8.9000000E+001, 6.4912588E-001, 6.8736744E-015
 6.9166994E-001, 1.9050408E+000,-1.9167339E+000, 1.0000000E-001, 8.9000000E+001, 6.4927258E-001, 6.8498535E-015
 6.9744852E-001, 1.9053451E+000,-1.8950461E+000, 1.0000000E-001, 8.9000000E+001, 6.4882812E-001, 6.3224928E-015
 7.0380496E-001, 1.9055451E+000,-1.8753497E+000, 1.0000000E-001, 8.9000000E+001, 6.4786733E-001, 5.4398695E-015
 7.1595424E-001, 1.9055686E+000,-1.8435615E+000, 1.0000000E-001, 8.9000000E+001, 6.4589283E-001, 4.0732891E-015
 7.2174623E-001, 1.9053511E+000,-1.8128918E+000, 1.0000000E-001, 8.8000000E+001, 6.4780484E-001, 8.0266907E-015
 7.2811742E-001, 1.9050138E+000,-1.7933718E+000, 1.0000000E-001, 8.8000000E+001, 6.4521868E-001, 5.6028822E-015
 7.3391605E-001, 1.9045850E+000,-1.7722380E+000, 1.0000000E-001, 8.8000000E+001, 6.4145629E-001, 3.3341299E-015
 7.4029455E-001, 1.9039798E+000,-1.7528223E+000, 1.0000000E-001, 8.7000000E+001, 6.4461582E-001, 7.9513410E-015
 7.4609991E-001, 1.9033077E+000,-1.7318953E+000, 1.0000000E-001, 8.8000000E+001, 6.4235839E-001, 3.7639404E-015
 7.5248581E-001, 1.9024353E+000,-1.7125942E+000, 1.0000000E-001, 8.8000000E+001, 6.4513615E-001, 5.5138820E-015
 7.5829799E-001, 1.9015205E+000,-1.6918843E+000, 1.0000000E-001, 8.8000000E+001, 6.4718641E-001, 7.3161441E-015
 7.6469139E-001, 1.9003817E+000,-1.6727079E+000, 1.0000000E-001, 8.8000000E+001, 6.4884693E-001, 9.2187995E-015
 7.7051022E-001, 1.8992250E+000,-1.6522251E+000, 1.0000000E-001, 8.9000000E+001, 6.4602637E-001, 4.0852463E-015
 7.7691093E-001, 1.8978209E+000,-1.6331846E+000, 1.0000000E-001, 8.9000000E+001, 6.4688764E-001, 4.6380444E-015
 7.8273643E-001, 1.8964235E+000,-1.6129395E+000, 1.0000000E-001, 8.9000000E+001, 6.4727540E-001, 4.9336235E-015
 7.8914449E-001, 1.8947553E+000,-1.5940452E+000, 1.0000000E-001, 8.8000000E+001, 6.4844209E-001, 9.0221194E-015
 7.9497674E-001, 1.8931181E+000,-1.5740475E+000, 1.0000000E-001, 8.9000000E+001, 6.4846090E-001, 5.9228185E-015
 8.0139223E-001, 1.8911871E+000,-1.5553094E+000, 1.0000000E-001, 8.9000000E+001, 6.4881146E-001, 6.2847404E-015
 8.0723133E-001, 1.8893116E+000,-1.5355685E+000, 1.0000000E-001, 8.9000000E+001, 6.4925898E-001, 6.7523578E-015
 8.1365433E-001, 1.8871193E+000,-1.5169967E+000, 1.0000000E-001, 8.9000000E+001, 6.4926989E-001, 6.8417693E-015
 8.1950011E-001, 1.8850068E+000,-1.4975216E+000, 1.0000000E-001, 8.9000000E+001, 6.4963481E-001, 7.2690272E-015
 8.2593047E-001, 1.8825549E+000,-1.4791268E+000, 1.0000000E-001, 8.9000000E+001, 6.4952702E-001, 7.2461959E-015
 8.3178295E-001, 1.8802071E+000,-1.4599271E+000, 1.0000000E-001, 8.9000000E+001, 6.5001589E-001, 7.8286667E-015
 8.3822068E-001, 1.8774974E+000,-1.4417193E+000, 1.0000000E-001, 8.9000000E+001, 6.4982947E-001, 7.7174787E-015
 8.4407994E-001, 1.8749160E+000,-1.4228035E+000, 1.0000000E-001, 8.9000000E+001, 6.5041919E-001, 8.4492406E-015
 8.5052513E-001, 1.8719505E+000,-1.4047926E+000, 1.0000000E-001, 8.9000000E+001, 6.5020411E-001, 8.2912543E-015
 8.5639126E-001, 1.8691373E+000,-1.3861690E+000, 1.0000000E-001, 8.9000000E+001, 6.5076121E-001, 9.0303024E-015
 8.6284401E-001, 1.8659180E+000,-1.3683646E+000, 1.0000000E-001, 8.9000000E+001, 6.5034032E-001, 8.6081932E-015
 8.6871685E-001, 1.8628752E+000,-1.3500413E+000, 1.0000000E-001, 8.9000000E+001, 6.5100124E-001, 9.5014058E-015
 8.7517697E-001, 1.8594045E+000,-1.3324537E+000, 1.0000000E-001, 8.9000000E+001, 6.5023964E-001, 8.6364497E-015
 8.8105654E-001, 1.8561342E+000,-1.3144389E+000, 1.0000000E-001, 8.9000000E+001, 6.5104331E-001, 9.7115787E-015
 8.8752406E-001, 1.8524146E+000,-1.2970779E+000, 1.0000000E-001, 8.9000000E+001, 6.5031978E-001, 8.8642937E-015
