s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 1.0306602E+000, 1.9086497E+000,-9.0085527E-001, 1.0000000E-010, 9.0000000E+001, 6.4540376E-001, 4.3960548E-015
 1.0419860E+000, 1.8998373E+000,-8.7192977E-001, 1.0000000E-010, 8.9476190E+001, 6.4792295E-001, 7.9036212E-015
 1.0473793E+000, 1.8911140E+000,-8.4423551E-001, 1.0000000E-010, 9.0000000E+001, 6.4850357E-001, 6.7179143E-015
 1.0533120E+000, 1.8846650E+000,-8.2551527E-001, 1.0000000E-010, 8.9000000E+001, 6.4660539E-001, 7.9549437E-015
 1.0587053E+000, 1.8787004E+000,-8.0719844E-001, 1.0000000E-010, 9.0000000E+001, 6.4859016E-001, 6.7555626E-015
 1.0646381E+000, 1.8720282E+000,-7.8875816E-001, 1.0000000E-010, 8.9000000E+001, 6.4521936E-001, 6.5256683E-015
 1.0700313E+000, 1.8658625E+000,-7.7078469E-001, 1.0000000E-010, 8.9000000E+001, 6.4806940E-001, 9.6233862E-015
 1.0759639E+000, 1.8589708E+000,-7.5263606E-001, 1.0000000E-010, 8.8000000E+001, 6.4413930E-001, 8.6558697E-015
 1.0813572E+000, 1.8526070E+000,-7.3501378E-001, 1.0000000E-010, 8.9000000E+001, 6.4752279E-001, 8.8492064E-015
 1.0872898E+000, 1.8454992E+000,-7.1716759E-001, 1.0000000E-010, 8.8000000E+001, 6.4321109E-001, 7.5534430E-015
 1.0986157E+000, 1.8351061E+000,-6.9071979E-001, 1.0000000E-010, 8.8000000E+001, 6.4349556E-001, 7.8766840E-015
 1.1040091E+000, 1.8248699E+000,-6.6547250E-001, 1.0000000E-010, 8.8000000E+001, 6.4391281E-001, 8.1851836E-015
 1.1099418E+000, 1.8173407E+000,-6.4826296E-001, 1.0000000E-010, 8.8000000E+001, 6.4181958E-001, 6.1092085E-015
 1.1153351E+000, 1.8104025E+000,-6.3173780E-001, 1.0000000E-010, 8.8000000E+001, 6.4352963E-001, 7.6772255E-015
 1.1212677E+000, 1.8026684E+000,-6.1486297E-001, 1.0000000E-010, 8.8000000E+001, 6.4239347E-001, 6.5295323E-015
 1.1266610E+000, 1.7955458E+000,-5.9871785E-001, 1.0000000E-010, 8.8000000E+001, 6.4351129E-001, 7.5630218E-015
 1.1325936E+000, 1.7876109E+000,-5.8218796E-001, 1.0000000E-010, 8.8000000E+001, 6.4262802E-001, 6.6565550E-015
 1.1379868E+000, 1.7803074E+000,-5.6642936E-001, 1.0000000E-010, 8.8000000E+001, 6.4389951E-001, 7.8708458E-015
 1.1439194E+000, 1.7721756E+000,-5.5025436E-001, 1.0000000E-010, 8.8000000E+001, 6.4362536E-001, 7.5275217E-015
 1.1552455E+000, 1.7603343E+000,-5.2660692E-001, 1.0000000E-010, 8.8000000E+001, 6.4456867E-001, 8.4733966E-015
 1.1606388E+000, 1.7487162E+000,-5.0411150E-001, 1.0000000E-010, 8.8000000E+001, 6.4518779E-001, 9.1250039E-015
 1.1665715E+000, 1.7402031E+000,-4.8867585E-001, 1.0000000E-010, 8.8000000E+001, 6.4527314E-001, 9.1618536E-015
 1.1719647E+000, 1.7323798E+000,-4.7411453E-001, 1.0000000E-010, 8.9000000E+001, 6.4708187E-001, 7.5312084E-015
 1.1778973E+000, 1.7236827E+000,-4.5906326E-001, 1.0000000E-010, 8.9000000E+001, 6.4723452E-001, 7.6315222E-015
 1.1832906E+000, 1.7156941E+000,-4.4491300E-001, 1.0000000E-010, 8.9000000E+001, 6.4750714E-001, 7.8665812E-015
 1.1892232E+000, 1.7068173E+000,-4.3025523E-001, 1.0000000E-010, 8.9000000E+001, 6.4769621E-001, 8.0105116E-015
 1.1946165E+000, 1.6986673E+000,-4.1652144E-001, 1.0000000E-010, 8.9000000E+001, 6.4774464E-001, 8.0061722E-015
 1.2005491E+000, 1.6896153E+000,-4.0226608E-001, 1.0000000E-010, 8.9000000E+001, 6.4788582E-001, 8.0988958E-015
 1.2118752E+000, 1.6764772E+000,-3.8170240E-001, 1.0000000E-010, 8.9000000E+001, 6.4807185E-001, 8.2156074E-015
 1.2172685E+000, 1.6636256E+000,-3.6222521E-001, 1.0000000E-010, 8.9000000E+001, 6.4799854E-001, 8.0449866E-015
 1.2232011E+000, 1.6542373E+000,-3.4880135E-001, 1.0000000E-010, 8.9000000E+001, 6.4818640E-001, 8.1915574E-015
