s,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR
 1.2601676E+002, 9.5706757E-003, 7.2973541E-003, 2.2108016E-003, 5.6607208E-006, 5.6859231E-005
 1.2664922E+002, 9.5706756E-003, 7.2973540E-003, 2.2108016E-003, 5.6607207E-006, 5.6859231E-005
 1.2720262E+002, 9.5706755E-003, 7.2973539E-003, 2.2108016E-003, 5.6607207E-006, 5.6859230E-005
 1.2783508E+002, 9.5706754E-003, 7.2973539E-003, 2.2108016E-003, 5.6607206E-006, 5.6859230E-005
 1.2846753E+002, 9.5706753E-003, 7.2973538E-003, 2.2108015E-003, 5.6607206E-006, 5.6859229E-005
 1.2902094E+002, 9.5706752E-003, 7.2973537E-003, 2.2108015E-003, 5.6607205E-006, 5.6859229E-005
 1.2965338E+002, 9.5706751E-003, 7.2973537E-003, 2.2108015E-003, 5.6607204E-006, 5.6859228E-005
 1.3020679E+002, 9.5706750E-003, 7.2973536E-003, 2.2108015E-003, 5.6607204E-006, 5.6859227E-005
 1.3083923E+002, 9.5706749E-003, 7.2973535E-003, 2.2108015E-003, 5.6607203E-006, 5.6859227E-005
 1.3147169E+002, 9.5706749E-003, 7.2973535E-003, 2.2108014E-003, 5.6607203E-006, 5.6859227E-005
 1.3202509E+002, 9.5706748E-003, 7.2973534E-003, 2.2108014E-003, 5.6607203E-006, 5.6859226E-005
 1.3265755E+002, 9.5706747E-003, 7.2973534E-003, 2.2108014E-003, 5.6607202E-006, 5.6859226E-005
 1.3321095E+002, 9.5706747E-003, 7.2973533E-003, 2.2108014E-003, 5.6607202E-006, 5.6859226E-005
 1.3384340E+002, 9.5706747E-003, 7.2973533E-003, 2.2108014E-003, 5.6607202E-006, 5.6859225E-005
 1.3447586E+002, 9.5706746E-003, 7.2973533E-003, 2.2108014E-003, 5.6607202E-006, 5.6859225E-005
 1.3502925E+002, 9.5706746E-003, 7.2973533E-003, 2.2108014E-003, 5.6607201E-006, 5.6859225E-005
 1.3566171E+002, 9.5706746E-003, 7.2973532E-003, 2.2108014E-003, 5.6607201E-006, 5.6859225E-005
 1.3621510E+002, 9.5706746E-003, 7.2973532E-003, 2.2108014E-003, 5.6607201E-006, 5.6859225E-005
