s,Pa,Pa,Pa
Time,"pres_1","pres_2","pres_3"
 2.0300000E+001, 1.3062239E+001, 1.2980745E+001, 1.2910053E+001
 2.0400000E+001, 1.1976661E+001, 1.1866609E+001, 1.1682687E+001
 2.0500000E+001, 1.1001546E+001, 1.0868762E+001, 1.0579519E+001
 2.0600000E+001, 1.0125395E+001, 9.9740976E+000, 9.5894541E+000
 2.0700000E+001, 9.3378673E+000, 9.1708786E+000, 8.7018503E+000
 2.0800000E+001, 8.6294646E+000, 8.4486227E+000, 7.9063892E+000
 2.0900000E+001, 7.9913265E+000, 7.7980021E+000, 7.1930198E+000
 2.1000000E+001, 7.4151473E+000, 7.2106433E+000, 6.5519801E+000
 2.1100000E+001, 6.8932111E+000, 6.6789870E+000, 5.9741464E+000
 2.1200000E+001, 6.4184342E+000, 6.1960072E+000, 5.4504766E+000
 2.1300000E+001, 5.9845115E+000, 5.7553548E+000, 4.9733357E+000
 2.1400000E+001, 5.5859006E+000, 5.3512658E+000, 4.5354165E+000
 2.1500000E+001, 5.2178425E+000, 4.9784515E+000, 4.1308159E+000
 2.1600000E+001, 4.8762386E+000, 4.6322334E+000, 3.7546973E+000
 2.1700000E+001, 4.5575585E+000, 4.3085844E+000, 3.4043499E+000
 2.1800000E+001, 4.2585776E+000, 4.0041704E+000, 3.0772288E+000
 2.1900000E+001, 3.9763231E+000, 3.7163211E+000, 2.7720871E+000
 2.2000000E+001, 3.7079363E+000, 3.4429241E+000, 2.4877071E+000
 2.2100000E+001, 3.4506898E+000, 3.1824071E+000, 2.2235271E+000
 2.2200000E+001, 3.2020360E+000, 2.9336834E+000, 1.9793910E+000
 2.2300000E+001, 2.9596789E+000, 2.6959025E+000, 1.7551315E+000
 2.2400000E+001, 2.7217092E+000, 2.4684310E+000, 1.5505617E+000
 2.2500000E+001, 2.4867110E+000, 2.2506733E+000, 1.3652777E+000
 2.2600000E+001, 2.2538258E+000, 2.0420007E+000, 1.1985886E+000
 2.2700000E+001, 2.0227542E+000, 1.8416695E+000, 1.0495660E+000
 2.2800000E+001, 1.7936957E+000, 1.6488275E+000, 9.1691761E-001
 2.2900000E+001, 1.5672436E+000, 1.4625760E+000, 7.9898523E-001
 2.3000000E+001, 1.3442593E+000, 1.2820665E+000, 6.9394901E-001
 2.3100000E+001, 1.1257531E+000, 1.1066048E+000, 5.9998013E-001
 2.3200000E+001, 9.1278398E-001, 9.3571552E-001, 5.1531119E-001
 2.3300000E+001, 7.0638575E-001, 7.6914653E-001, 4.3818475E-001
 2.3400000E+001, 5.0751129E-001, 6.0684901E-001, 3.6690135E-001
 2.3500000E+001, 3.1699377E-001, 4.4894082E-001, 2.9986075E-001
 2.3600000E+001, 1.3551915E-001, 2.9565941E-001, 2.3566003E-001
 2.3700000E+001,-3.6390090E-002, 1.4734317E-001, 1.7322734E-001
 2.3800000E+001,-1.9837709E-001, 4.4329442E-003, 1.1199920E-001
 2.3900000E+001,-3.5024140E-001,-1.3252534E-001, 5.1907746E-002
 2.4000000E+001,-4.9191555E-001,-2.6288827E-001,-6.7465563E-003
 2.4100000E+001,-6.2343133E-001,-3.8595583E-001,-6.3428130E-002
 2.4200000E+001,-7.4488044E-001,-5.0104139E-001,-1.1750542E-001
 2.4300000E+001,-8.5637462E-001,-6.0754436E-001,-1.6835359E-001
 2.4400000E+001,-9.5801295E-001,-7.0486632E-001,-2.1539554E-001
 2.4500000E+001,-1.0498548E+000,-7.9264516E-001,-2.5811197E-001
 2.4600000E+001,-1.1319161E+000,-8.7063777E-001,-2.9625351E-001
 2.4700000E+001,-1.2041394E+000,-9.3861593E-001,-3.2924286E-001
 2.4800000E+001,-1.2664449E+000,-9.9653028E-001,-3.5702583E-001
 2.4900000E+001,-1.3186999E+000,-1.0444573E+000,-3.7910314E-001
 2.5000000E+001,-1.3607823E+000,-1.0825671E+000,-3.9529318E-001
