s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 4.4826949E-001, 4.7632676E-002, 9.8774101E-006, 3.0000000E+000, 7.4577293E+001
 4.5059853E-001, 4.7555840E-002, 9.9853913E-006, 4.6666667E+000, 7.4940901E+001
 4.5215122E-001, 4.7467525E-002, 9.7764344E-006, 2.5000000E+000, 7.5281647E+001
 4.5448025E-001, 4.7401287E-002, 9.9147624E-006, 3.0000000E+000, 7.5624691E+001
 4.5603294E-001, 4.7314827E-002, 9.8683444E-006, 4.5000000E+000, 7.5972981E+001
 4.5836198E-001, 4.7233902E-002, 9.9070162E-006, 3.0000000E+000, 7.6312344E+001
 4.6069102E-001, 4.7149277E-002, 9.9227408E-006, 4.3333333E+000, 7.6897020E+001
 4.6224371E-001, 4.7064243E-002, 9.8153470E-006, 3.0000000E+000, 7.7402229E+001
 4.6457274E-001, 4.6986372E-002, 9.9599109E-006, 4.3333333E+000, 7.7792411E+001
 4.6612543E-001, 4.6897514E-002, 9.8605946E-006, 2.5000000E+000, 7.8354527E+001
 4.6845447E-001, 4.6829153E-002, 9.9283862E-006, 3.6666667E+000, 7.8706605E+001
 4.7000716E-001, 4.6749416E-002, 9.9213728E-006, 3.0000000E+000, 7.9047428E+001
 4.7233619E-001, 4.6663496E-002, 9.9297200E-006, 4.0000000E+000, 7.9395987E+001
 4.7466523E-001, 4.6587179E-002, 9.9425802E-006, 3.0000000E+000, 7.9803743E+001
 4.7621792E-001, 4.6504488E-002, 9.9770165E-006, 4.5000000E+000, 8.0193867E+001
 4.7854695E-001, 4.6428992E-002, 9.9529227E-006, 3.0000000E+000, 8.0536762E+001
 4.8009965E-001, 4.6341891E-002, 9.9305326E-006, 5.0000000E+000, 8.0884613E+001
 4.8242868E-001, 4.6262498E-002, 9.9302117E-006, 3.0000000E+000, 8.1225053E+001
 4.8460151E-001, 4.6161219E-002, 9.9319802E-006, 4.1078361E+000, 8.1650715E+001
 4.8669624E-001, 4.6083455E-002, 9.9448058E-006, 2.6666667E+000, 8.2058704E+001
 4.8809272E-001, 4.6006451E-002, 9.9637346E-006, 3.0000000E+000, 8.2395184E+001
 4.9018745E-001, 4.5932934E-002, 9.9815630E-006, 3.0000000E+000, 8.3393792E+001
 4.9228217E-001, 4.5857805E-002, 9.9738029E-006, 3.0000000E+000, 8.3812733E+001
 4.9437690E-001, 4.5757750E-002, 9.9636903E-006, 3.3333333E+000, 8.4217286E+001
 4.9647162E-001, 4.5677956E-002, 9.9508013E-006, 3.0000000E+000, 8.4616833E+001
 4.9856635E-001, 4.5585583E-002, 9.9804872E-006, 3.0000000E+000, 8.5258096E+001
 5.0066108E-001, 4.5501186E-002, 9.9678405E-006, 3.3333333E+000, 8.5661037E+001
 5.0205756E-001, 4.5427415E-002, 9.9570366E-006, 2.5000000E+000, 8.6232338E+001
 5.0415229E-001, 4.5356834E-002, 9.9888438E-006, 3.3333333E+000, 8.6589204E+001
 5.0624701E-001, 4.5270634E-002, 9.9912541E-006, 3.0000000E+000, 8.6989068E+001
 5.0834174E-001, 4.5181830E-002, 9.9877315E-006, 3.0000000E+000, 8.7389515E+001
 5.1043647E-001, 4.5089647E-002, 9.9687566E-006, 3.3333333E+000, 8.7784051E+001
 5.1253119E-001, 4.5001959E-002, 9.9828407E-006, 3.0000000E+000, 8.8186601E+001
 5.1462592E-001, 4.4912795E-002, 9.9839397E-006, 3.3333333E+000, 8.8628549E+001
 5.1602240E-001, 4.4838009E-002, 9.9640825E-006, 3.0000000E+000, 8.9068008E+001
 5.1811713E-001, 4.4766612E-002, 9.9891516E-006, 3.0000000E+000, 8.9420368E+001
 5.2021185E-001, 4.4669690E-002, 9.9691162E-006, 3.3333333E+000, 9.0073297E+001
 5.2230658E-001, 4.4581488E-002, 9.9722942E-006, 3.3333333E+000, 9.0473426E+001
 5.2440131E-001, 4.4487459E-002, 9.9580613E-006, 3.0000000E+000, 9.0841259E+001
 5.2649603E-001, 4.4400349E-002, 9.9780375E-006, 3.3333333E+000, 9.1208747E+001
 5.2859076E-001, 4.4305948E-002, 9.9659061E-006, 3.0000000E+000, 9.1580962E+001
 5.3068548E-001, 4.4216283E-002, 9.9666297E-006, 3.3333333E+000, 9.1948742E+001
 5.3208197E-001, 4.4139321E-002, 9.9714219E-006, 3.0000000E+000, 9.2697662E+001
 5.3417670E-001, 4.4063847E-002, 9.9690009E-006, 3.3333333E+000, 9.3050976E+001
 5.3627142E-001, 4.3974682E-002, 9.9780525E-006, 3.0000000E+000, 9.3414496E+001
 5.3836615E-001, 4.3881694E-002, 9.9568983E-006, 3.3333333E+000, 9.3773744E+001
 5.4046087E-001, 4.3791829E-002, 9.9721283E-006, 3.3333333E+000, 9.4137180E+001
 5.4255560E-001, 4.3697358E-002, 9.9677738E-006, 3.0000000E+000, 9.4494246E+001
 5.4465033E-001, 4.3614280E-002, 9.9725203E-006, 3.3333333E+000, 9.4897783E+001
 5.4604681E-001, 4.3529703E-002, 9.9747901E-006, 3.0000000E+000, 9.5197235E+001
 5.4814154E-001, 4.3460577E-002, 9.9642348E-006, 3.3333333E+000, 9.5846874E+001
 5.5023626E-001, 4.3365309E-002, 9.9579976E-006, 3.0000000E+000, 9.6718484E+001
