s,m/s,m/s,Pa,m/s,
Time,"u-vel","w-vel","pres","error","iter"
 2.9200000E-001, 1.0317775E-001, 5.8824530E-001, 3.6421478E-002, 9.9458874E-006, 4.3000000E+001
 2.9400000E-001, 1.0301231E-001, 5.9410845E-001, 3.3438174E-002, 9.9359705E-006, 4.3000000E+001
 2.9600000E-001, 1.0286988E-001, 6.0008958E-001, 3.0392873E-002, 9.9054028E-006, 4.3000000E+001
 2.9800000E-001, 1.0274895E-001, 6.0619573E-001, 2.7280074E-002, 9.8831511E-006, 4.3000000E+001
 3.0000000E-001, 1.0264744E-001, 6.1243396E-001, 2.4096773E-002, 9.8827881E-006, 4.3000000E+001
 3.0200000E-001, 1.0160918E-001, 6.1795509E-001,-8.2518793E-002, 9.8575115E-006, 2.5100000E+002
 3.0400000E-001, 1.0057522E-001, 6.2358571E-001,-8.7592729E-002, 9.7828596E-006, 3.2000000E+001
 3.0600000E-001, 9.9549239E-002, 6.2933582E-001,-9.1889986E-002, 9.7057721E-006, 2.1000000E+001
 3.0800000E-001, 9.8525173E-002, 6.3521157E-001,-9.6593939E-002, 9.8534837E-006, 3.8000000E+001
 3.1000000E-001, 9.7513022E-002, 6.4122301E-001,-9.9739933E-002, 9.9375045E-006, 3.7000000E+001
 3.1200000E-001, 9.6501086E-002, 6.4737118E-001,-1.0352843E-001, 9.7933454E-006, 3.4000000E+001
 3.1400000E-001, 9.5479045E-002, 6.5365729E-001,-1.0776505E-001, 9.7324907E-006, 3.2000000E+001
 3.1600000E-001, 9.4438447E-002, 6.6008274E-001,-1.1219920E-001, 9.7001144E-006, 3.2000000E+001
 3.1800000E-001, 9.3371482E-002, 6.6664837E-001,-1.1670952E-001, 9.9930359E-006, 3.2000000E+001
 3.2000000E-001, 9.2269004E-002, 6.7335371E-001,-1.2132410E-001, 9.7748458E-006, 3.4000000E+001
 3.2200000E-001, 9.1121698E-002, 6.8019703E-001,-1.2605165E-001, 9.9053016E-006, 3.4000000E+001
 3.2400000E-001, 8.9918241E-002, 6.8717480E-001,-1.3098882E-001, 9.8595851E-006, 3.5000000E+001
