s,m/s,m/s,Pa,m/s,,,,,m3/s,m3/s
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res","flow_in","flow_out"
 1.6800000E-001, 6.5017852E-002, 7.6734002E-002, 2.5907832E-001, 1.3438281E-004, 1.0000000E+000, 3.4000000E+001, 4.8654271E-001, 8.6624260E-009, 1.7208000E-002, 0.0000000E+000
 1.7000000E-001, 6.5441108E-002, 7.7234386E-002, 2.5910626E-001, 1.4181240E-004, 1.0000000E+000, 3.4000000E+001, 4.8548675E-001, 8.3073617E-009, 1.7320000E-002, 0.0000000E+000
 1.7200000E-001, 6.5864397E-002, 7.7734813E-002, 2.5913442E-001, 1.4602938E-004, 1.0000000E+000, 3.4000000E+001, 4.8579953E-001, 8.7585805E-009, 1.7432000E-002, 0.0000000E+000
 1.7400000E-001, 6.6287718E-002, 7.8235284E-002, 2.5916281E-001, 1.5009814E-004, 1.0000000E+000, 3.4000000E+001, 4.8600364E-001, 9.1581964E-009, 1.7544000E-002, 0.0000000E+000
 1.7600000E-001, 6.6711074E-002, 7.8735801E-002, 2.5919141E-001, 1.5537618E-004, 1.0000000E+000, 3.4000000E+001, 4.8587224E-001, 9.3491030E-009, 1.7656000E-002, 0.0000000E+000
 1.7800000E-001, 6.7134465E-002, 7.9236365E-002, 2.5922023E-001, 1.6370805E-004, 1.0000000E+000, 3.4000000E+001, 4.8559009E-001, 9.4390435E-009, 1.7768000E-002, 0.0000000E+000
 1.8000000E-001, 6.7557891E-002, 7.9736977E-002, 2.5924927E-001, 1.7260318E-004, 1.0000000E+000, 3.4000000E+001, 4.8529779E-001, 9.5180490E-009, 1.7880000E-002, 0.0000000E+000
 1.8200000E-001, 6.7981354E-002, 8.0237638E-002, 2.5927853E-001, 1.8191391E-004, 1.0000000E+000, 3.4000000E+001, 4.8504654E-001, 9.6203801E-009, 1.7992000E-002, 0.0000000E+000
 1.8400000E-001, 6.8404855E-002, 8.0738349E-002, 2.5930801E-001, 1.9171901E-004, 1.0000000E+000, 3.4000000E+001, 4.8481946E-001, 9.7355601E-009, 1.8104000E-002, 0.0000000E+000
 1.8600000E-001, 6.8828393E-002, 8.1239112E-002, 2.5933771E-001, 2.0213826E-004, 1.0000000E+000, 3.4000000E+001, 4.8459137E-001, 9.8469127E-009, 1.8216000E-002, 0.0000000E+000
 1.8800000E-001, 6.9251971E-002, 8.1739928E-002, 2.5936763E-001, 2.1324675E-004, 1.0000000E+000, 3.4000000E+001, 4.8434913E-001, 9.9453074E-009, 1.8328000E-002, 0.0000000E+000
 1.9000000E-001, 6.9675589E-002, 8.2240797E-002, 2.5939777E-001, 2.2508363E-004, 1.0000000E+000, 3.5000000E+001, 4.8252526E-001, 4.3346435E-009, 1.8440000E-002, 0.0000000E+000
 1.9200000E-001, 7.0099247E-002, 8.2741722E-002, 2.5942814E-001, 2.3768311E-004, 1.0000000E+000, 3.5000000E+001, 4.8231609E-001, 4.3824709E-009, 1.8552000E-002, 0.0000000E+000
 1.9400000E-001, 7.0522947E-002, 8.3242703E-002, 2.5945874E-001, 2.5108916E-004, 1.0000000E+000, 3.5000000E+001, 4.8209934E-001, 4.4268408E-009, 1.8664000E-002, 0.0000000E+000
 1.9600000E-001, 7.0946689E-002, 8.3743742E-002, 2.5948956E-001, 2.6535392E-004, 1.0000000E+000, 3.5000000E+001, 4.8187184E-001, 4.4668726E-009, 1.8776000E-002, 0.0000000E+000
 1.9800000E-001, 7.1370474E-002, 8.4244839E-002, 2.5952060E-001, 2.8053200E-004, 1.0000000E+000, 3.5000000E+001, 4.8162962E-001, 4.5015306E-009, 1.8888000E-002, 0.0000000E+000
 2.0000000E-001, 7.1794303E-002, 8.4745996E-002, 2.5955187E-001, 2.9667729E-004, 1.0000000E+000, 3.5000000E+001, 4.8136769E-001, 4.5295437E-009, 1.9000000E-002, 0.0000000E+000
 2.0200000E-001, 7.1946083E-002, 8.4926264E-002, 9.4588570E-002, 3.2900162E-004, 1.0000000E+000, 3.7000000E+001, 5.0384274E-001, 8.0420601E-009, 1.9040000E-002, 0.0000000E+000
 2.0400000E-001, 7.2097945E-002, 8.5106730E-002, 9.4611381E-002, 1.6963396E-004, 1.0000000E+000, 3.6000000E+001, 4.9566301E-001, 6.4287684E-009, 1.9080000E-002, 0.0000000E+000
 2.0600000E-001, 7.2249858E-002, 8.5287258E-002, 9.4626600E-002, 3.4934227E-004, 1.0000000E+000, 3.5000000E+001, 4.8365390E-001, 5.6433117E-009, 1.9120000E-002, 0.0000000E+000
