s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.4740171E+001, 0.0000000E+000, 0.0000000E+000
 5.4760224E+001, 0.0000000E+000, 0.0000000E+000
 5.4780271E+001, 0.0000000E+000, 0.0000000E+000
 5.4800101E+001, 0.0000000E+000, 0.0000000E+000
 5.4820288E+001, 0.0000000E+000, 0.0000000E+000
 5.4840053E+001, 0.0000000E+000, 0.0000000E+000
 5.4860322E+001, 0.0000000E+000, 0.0000000E+000
 5.4880056E+001, 0.0000000E+000, 0.0000000E+000
 5.4900328E+001, 0.0000000E+000, 0.0000000E+000
 5.4920042E+001, 0.0000000E+000, 0.0000000E+000
 5.4940082E+001, 0.0000000E+000, 0.0000000E+000
 5.4960293E+001, 0.0000000E+000, 0.0000000E+000
 5.4980040E+001, 0.0000000E+000, 0.0000000E+000
 5.5000385E+001, 0.0000000E+000, 0.0000000E+000
 5.5020397E+001, 0.0000000E+000, 0.0000000E+000
 5.5040116E+001, 0.0000000E+000, 0.0000000E+000
 5.5060394E+001, 0.0000000E+000, 0.0000000E+000
 5.5080182E+001, 0.0000000E+000, 0.0000000E+000
 5.5100009E+001, 0.0000000E+000, 0.0000000E+000
 5.5120133E+001, 0.0000000E+000, 0.0000000E+000
 5.5140295E+001, 0.0000000E+000, 0.0000000E+000
 5.5160107E+001, 0.0000000E+000, 0.0000000E+000
 5.5180391E+001, 0.0000000E+000, 0.0000000E+000
 5.5200156E+001, 0.0000000E+000, 0.0000000E+000
 5.5220336E+001, 0.0000000E+000, 0.0000000E+000
 5.5240413E+001, 0.0000000E+000, 0.0000000E+000
 5.5260142E+001, 0.0000000E+000, 0.0000000E+000
 5.5280277E+001, 0.0000000E+000, 0.0000000E+000
 5.5300270E+001, 0.0000000E+000, 0.0000000E+000
 5.5320175E+001, 0.0000000E+000, 0.0000000E+000
 5.5340274E+001, 0.0000000E+000, 0.0000000E+000
 5.5360342E+001, 0.0000000E+000, 0.0000000E+000
 5.5380163E+001, 0.0000000E+000, 0.0000000E+000
 5.5400055E+001, 0.0000000E+000, 0.0000000E+000
 5.5420104E+001, 0.0000000E+000, 0.0000000E+000
 5.5440263E+001, 0.0000000E+000, 0.0000000E+000
 5.5460125E+001, 0.0000000E+000, 0.0000000E+000
 5.5480034E+001, 0.0000000E+000, 0.0000000E+000
 5.5500302E+001, 0.0000000E+000, 0.0000000E+000
 5.5520252E+001, 0.0000000E+000, 0.0000000E+000
 5.5540199E+001, 0.0000000E+000, 0.0000000E+000
 5.5560139E+001, 0.0000000E+000, 0.0000000E+000
 5.5580414E+001, 0.0000000E+000, 0.0000000E+000
 5.5600178E+001, 0.0000000E+000, 0.0000000E+000
 5.5620217E+001, 0.0000000E+000, 0.0000000E+000
 5.5640154E+001, 0.0000000E+000, 0.0000000E+000
 5.5660080E+001, 0.0000000E+000, 0.0000000E+000
 5.5680275E+001, 0.0000000E+000, 0.0000000E+000
 5.5700015E+001, 0.0000000E+000, 0.0000000E+000
 5.5720313E+001, 0.0000000E+000, 0.0000000E+000
 5.5740052E+001, 0.0000000E+000, 0.0000000E+000
 5.5760311E+001, 0.0000000E+000, 0.0000000E+000
 5.5780248E+001, 0.0000000E+000, 0.0000000E+000
 5.5800017E+001, 0.0000000E+000, 0.0000000E+000
 5.5820419E+001, 0.0000000E+000, 0.0000000E+000
 5.5840064E+001, 0.0000000E+000, 0.0000000E+000
 5.5860046E+001, 0.0000000E+000, 0.0000000E+000
 5.5880386E+001, 0.0000000E+000, 0.0000000E+000
 5.5900403E+001, 0.0000000E+000, 0.0000000E+000
 5.5920155E+001, 0.0000000E+000, 0.0000000E+000
 5.5940034E+001, 0.0000000E+000, 0.0000000E+000
 5.5960244E+001, 0.0000000E+000, 0.0000000E+000
 5.5980038E+001, 0.0000000E+000, 0.0000000E+000
 5.6000219E+001, 0.0000000E+000, 0.0000000E+000
