s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.4520310E+001, 0.0000000E+000, 0.0000000E+000
 5.4540624E+001, 0.0000000E+000, 0.0000000E+000
 5.4560245E+001, 0.0000000E+000, 0.0000000E+000
 5.4580477E+001, 0.0000000E+000, 0.0000000E+000
 5.4600443E+001, 0.0000000E+000, 0.0000000E+000
 5.4620442E+001, 0.0000000E+000, 0.0000000E+000
 5.4640106E+001, 0.0000000E+000, 0.0000000E+000
 5.4660227E+001, 0.0000000E+000, 0.0000000E+000
 5.4680269E+001, 0.0000000E+000, 0.0000000E+000
 5.4700191E+001, 0.0000000E+000, 0.0000000E+000
 5.4720166E+001, 0.0000000E+000, 0.0000000E+000
 5.4740274E+001, 0.0000000E+000, 0.0000000E+000
 5.4760341E+001, 0.0000000E+000, 0.0000000E+000
 5.4780060E+001, 0.0000000E+000, 0.0000000E+000
 5.4800084E+001, 0.0000000E+000, 0.0000000E+000
 5.4820414E+001, 0.0000000E+000, 0.0000000E+000
 5.4840411E+001, 0.0000000E+000, 0.0000000E+000
 5.4860563E+001, 0.0000000E+000, 0.0000000E+000
 5.4880364E+001, 0.0000000E+000, 0.0000000E+000
 5.4900284E+001, 0.0000000E+000, 0.0000000E+000
 5.4920461E+001, 0.0000000E+000, 0.0000000E+000
 5.4940531E+001, 0.0000000E+000, 0.0000000E+000
 5.4960016E+001, 0.0000000E+000, 0.0000000E+000
 5.4980613E+001, 0.0000000E+000, 0.0000000E+000
 5.5000051E+001, 0.0000000E+000, 0.0000000E+000
 5.5020208E+001, 0.0000000E+000, 0.0000000E+000
 5.5040314E+001, 0.0000000E+000, 0.0000000E+000
 5.5060164E+001, 0.0000000E+000, 0.0000000E+000
 5.5080459E+001, 0.0000000E+000, 0.0000000E+000
 5.5100124E+001, 0.0000000E+000, 0.0000000E+000
 5.5120096E+001, 0.0000000E+000, 0.0000000E+000
 5.5140313E+001, 0.0000000E+000, 0.0000000E+000
 5.5160640E+001, 0.0000000E+000, 0.0000000E+000
 5.5180344E+001, 0.0000000E+000, 0.0000000E+000
 5.5200474E+001, 0.0000000E+000, 0.0000000E+000
 5.5220564E+001, 0.0000000E+000, 0.0000000E+000
 5.5240309E+001, 0.0000000E+000, 0.0000000E+000
